"File","Line","Kind","Class","Visibility","Function","ThisCalls","ObjCalls","StaticCalls","RouteRef","Status"
"app\Commands\DiagnoseLogin.php","15","php_method","DiagnoseLogin","public","run","0","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","31","php_method","DiagnoseLogin","private","checkEnvironment","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","44","php_method","DiagnoseLogin","private","checkDatabase","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","88","php_method","DiagnoseLogin","private","checkSession","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","116","php_method","DiagnoseLogin","private","checkPermissions","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","143","php_method","DiagnoseLogin","private","checkEncryption","1","1","0","0","TERREFERENSI"
"app\Commands\DiagnoseLogin.php","164","php_method","DiagnoseLogin","private","checkUsers","1","1","0","0","TERREFERENSI"
"app\Config\Database.php","193","php_method","Database","public","__construct","0","0","1","0","TERREFERENSI"
"app\Config\Exceptions.php","102","php_method","Exceptions","public","handler","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Config\Mimes.php","491","php_method","Mimes","public","guessTypeFromExtension","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Config\Mimes.php","509","php_method","Mimes","public","guessExtensionFromType","0","0","0","0","TIDAK_DITEMUKAN_REFERENSI"
"app\Controllers\Auth.php","19","php_method","Auth","public","__construct","0","0","1","0","TERREFERENSI"
"app\Controllers\Auth.php","24","php_method","Auth","public","index","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","41","php_method","Auth","public","login","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","211","php_method","Auth","public","registerForm","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","222","php_method","Auth","public","register","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","344","php_method","Auth","public","logout","0","0","0","1","TERREFERENSI"
"app\Controllers\Auth.php","367","php_method","Auth","private","attemptRememberLogin","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","400","php_method","Auth","private","setSessionUser","2","2","0","0","TERREFERENSI"
"app\Controllers\Auth.php","427","php_method","Auth","private","findUserByIdentity","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","439","php_method","Auth","private","findUserById","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","446","php_method","Auth","private","extractUserId","5","5","0","0","TERREFERENSI"
"app\Controllers\Auth.php","455","php_method","Auth","private","extractRole","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","464","php_method","Auth","private","extractName","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","477","php_method","Auth","private","setRememberCookie","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","499","php_method","Auth","private","clearRememberCookie","5","5","0","0","TERREFERENSI"
"app\Controllers\Auth.php","504","php_method","Auth","private","encryptRememberToken","1","1","0","0","TERREFERENSI"
"app\Controllers\Auth.php","520","php_method","Auth","private","decryptRememberToken","1","1","0","0","TERREFERENSI"
