"Menu","Route","Target","Sidebar","Routes","Status"
"Dashboard","/","Dashboard::index","True","True","OK"
"Tanda Terima","tanda-terima","TandaTerima::index","True","True","OK"
"Logistik","logistik","Logistik::index","True","True","OK"
"Dokumen","dokumen","Dokumen::index","True","True","OK"
"Presensi","presensi","Presensi::index","True","True","OK"
"Kartu Kendali","kartu-kendali","KartuKendali::index","True","True","OK"
"Uji Petik","uji-petik","UjiPetik::index","True","True","OK"
"Kegiatan","kegiatan","Kegiatan::index","True","True","OK"
"Laporan","laporan","Laporan::index","True","True","OK"
"Monitoring","monitoring","Monitoring::index","True","True","OK"
"Logout","logout","Auth::logout","True","True","OK"
